[2026-02-01 19:33:33] UID: 926 | Username: Chihiro | RAMA: NORMAL | Rango: 1-20 | Tirada: 10 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1769999613 | Microtime: 1769999613.074926 | IP: 77.111.246.28 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 OPR/126.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-12 07:28:09] UID: 926 | Username: Chihiro | RAMA: NORMAL | Rango: 1-20 | Tirada: 5 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1770906489 | Microtime: 1770906489.028017 | IP: 83.54.242.151 | UserAgent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-12 14:51:43] UID: 870 | Username: Apolo Kyrelight | RAMA: NORMAL | Rango: 1-20 | Tirada: 20 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1770933103 | Microtime: 1770933103.997918 | IP: 85.60.154.204 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-15 11:17:30] UID: 355 | Username: Friedrich | RAMA: NORMAL | Rango: 1-20 | Tirada: 17 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1771179450 | Microtime: 1771179450.053553 | IP: 38.3.192.20 | UserAgent: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-15 11:53:18] UID: 74 | Username: Airgid Vanaidiam | RAMA: NORMAL | Rango: 1-20 | Tirada: 4 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1771181598 | Microtime: 1771181598.905040 | IP: 139.47.126.61 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-17 13:19:41] UID: 948 | Username: Andrómeda Nightingale | RAMA: CLAN_D_O_DRAGON | Rango: 1-19 | Tirada: 4 | Bonif: FullHaki:NO | ClanD:NO | Dragon:SI | Timestamp: 1771359581 | Microtime: 1771359581.898821 | IP: 79.144.249.123 | UserAgent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-20 02:06:39] UID: 937 | Username: Miles Mercury | RAMA: FULL_HAKI | Rango: 1-10 | Tirada: 10 | Bonif: FullHaki:SI | ClanD:NO | Dragon:NO | Timestamp: 1771578399 | Microtime: 1771578399.602489 | IP: 79.112.112.9 | UserAgent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-20 19:15:11] UID: 937 | Username: Miles Mercury | RAMA: FULL_HAKI | Rango: 1-10 | Tirada: 1 | Bonif: FullHaki:SI | ClanD:NO | Dragon:NO | Timestamp: 1771640111 | Microtime: 1771640111.029571 | IP: 79.112.112.9 | UserAgent: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-22 08:21:07] UID: 954 | Username: Bondrewd | RAMA: FULL_HAKI | Rango: 1-10 | Tirada: 3 | Bonif: FullHaki:SI | ClanD:NO | Dragon:NO | Timestamp: 1771773667 | Microtime: 1771773667.633609 | IP: 87.220.4.91 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-23 17:13:21] UID: 944 | Username: Wandenreich Dragojevic | RAMA: CLAN_D_O_DRAGON | Rango: 1-19 | Tirada: 19 | Bonif: FullHaki:NO | ClanD:NO | Dragon:SI | Timestamp: 1771892001 | Microtime: 1771892001.943991 | IP: 92.178.192.189 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 OPR/126.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-26 16:50:02] UID: 961 | Username: Abyzou | RAMA: NORMAL | Rango: 1-20 | Tirada: 15 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1772149802 | Microtime: 1772149802.525431 | IP: 78.30.12.104 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-02-28 00:37:01] UID: 955 | Username: DeltaHarrington | RAMA: NORMAL | Rango: 1-20 | Tirada: 16 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1772264221 | Microtime: 1772264221.560292 | IP: 85.85.129.19 | UserAgent: Mozilla/5.0 (Android 16; Mobile; rv:148.0) Gecko/148.0 Firefox/148.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-03-03 08:20:28] UID: 136 | Username: William | RAMA: CLAN_D_O_DRAGON | Rango: 1-19 | Tirada: 6 | Bonif: FullHaki:NO | ClanD:SI | Dragon:NO | Timestamp: 1772551228 | Microtime: 1772551228.533917 | IP: 186.119.37.103 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-03-12 12:48:26] UID: 202 | Username: Logos | RAMA: NORMAL | Rango: 1-20 | Tirada: 16 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1773341306 | Microtime: 1773341306.381882 | IP: 83.32.234.177 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
[2026-03-16 12:16:42] UID: 202 | Username: Luca Vescari | RAMA: NORMAL | Rango: 1-20 | Tirada: 2 | Bonif: FullHaki:NO | ClanD:NO | Dragon:NO | Timestamp: 1773685002 | Microtime: 1773685002.224157 | IP: 83.32.234.177 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0 | Method: POST | POST: {"tirada_real":"true"} | Server: {"PHP_SELF":"\/opg\/tirada_rey.php","REQUEST_URI":"\/opg\/tirada_rey.php","QUERY_STRING":""}
